score,at,content,tokens,tokens_nostop,stemmed,final_text,sentiment_label,sentiment_score
5,2025 09 14 23 07 08,mau belanja nda bisa cod npa ya,"['mau', 'belanja', 'nda', 'bisa', 'cod', 'npa', 'ya']","['belanja', 'npa']","['belanja', 'npa']",belanja npa,positive,0.9901622533798218
1,2025 09 14 22 12 45,kurir menemukan kurir yang tidak profesional dimana paket cod sering sekali tidak dikonfirmasi tidak diantar langsung direturn ke penjual dan seringnya costumer yg sering disuruh ambil ke tempat kurir berada warung kopi oleh sebab ini jadi males order melalui shopee kalau tidak terpaksa,"['kurir', 'menemukan', 'kurir', 'yang', 'tidak', 'profesional', 'dimana', 'paket', 'cod', 'sering', 'sekali', 'tidak', 'dikonfirmasi', 'tidak', 'diantar', 'langsung', 'direturn', 'ke', 'penjual', 'dan', 'seringnya', 'costumer', 'yg', 'sering', 'disuruh', 'ambil', 'ke', 'tempat', 'kurir', 'berada', 'warung', 'kopi', 'oleh', 'sebab', 'ini', 'jadi', 'males', 'order', 'melalui', 'shopee', 'kalau', 'tidak', 'terpaksa']","['menemukan', 'dikonfirmasi', 'diantar', 'disuruh', 'warung', 'kopi', 'terpaksa']","['temu', 'konfirmasi', 'antar', 'suruh', 'warung', 'kopi', 'paksa']",temu konfirmasi antar suruh warung kopi paksa,neutral,0.997820258140564
5,2025 09 14 21 48 07,selama bisa cod saya suka shopee udah banyak saya pesan barang biasanya bisa cod tapi skrng knp ga bisa cod,"['selama', 'bisa', 'cod', 'saya', 'suka', 'shopee', 'udah', 'banyak', 'saya', 'pesan', 'barang', 'biasanya', 'bisa', 'cod', 'tapi', 'skrng', 'knp', 'ga', 'bisa', 'cod']",[],[],,ERROR,0.0
1,2025 09 14 21 24 20,udah gk bisa cod,"['udah', 'gk', 'bisa', 'cod']",[],[],,ERROR,0.0
3,2025 09 14 19 16 56,ada apa dengan shopee kenapa gaada yang bisa cod akun lama ataupun akun baru semuanya gak bisa cod kurang puas dah belanja di shopee,"['ada', 'apa', 'dengan', 'shopee', 'kenapa', 'gaada', 'yang', 'bisa', 'cod', 'akun', 'lama', 'ataupun', 'akun', 'baru', 'semuanya', 'gak', 'bisa', 'cod', 'kurang', 'puas', 'dah', 'belanja', 'di', 'shopee']",['belanja'],['belanja'],belanja,positive,0.9974477291107178
5,2025 09 14 18 01 03,cod cek dulu pertahankan pedagang yg yang terbukti nipu keluarkan dari aplikasi shopee tanpa syarat,"['cod', 'cek', 'dulu', 'pertahankan', 'pedagang', 'yg', 'yang', 'terbukti', 'nipu', 'keluarkan', 'dari', 'aplikasi', 'shopee', 'tanpa', 'syarat']","['pertahankan', 'pedagang', 'terbukti', 'keluarkan']","['tahan', 'dagang', 'bukti', 'keluar']",tahan dagang bukti keluar,negative,0.9963740706443787
5,2025 09 14 17 44 41,aku slalu pakai shopee tapi sekarang suguh kecewa karna pitur cod bayar langsung nya ga ada memang bisa bayar dengan cara lain tapi masalahnya saya ga punya kartu bnk dan alfa indomart nya ga ada saya tinggal di kampung saya harap akun saya di shopee bisa kembali memakai pitur cod bayar di tempat,"['aku', 'slalu', 'pakai', 'shopee', 'tapi', 'sekarang', 'suguh', 'kecewa', 'karna', 'pitur', 'cod', 'bayar', 'langsung', 'nya', 'ga', 'ada', 'memang', 'bisa', 'bayar', 'dengan', 'cara', 'lain', 'tapi', 'masalahnya', 'saya', 'ga', 'punya', 'kartu', 'bnk', 'dan', 'alfa', 'indomart', 'nya', 'ga', 'ada', 'saya', 'tinggal', 'di', 'kampung', 'saya', 'harap', 'akun', 'saya', 'di', 'shopee', 'bisa', 'kembali', 'memakai', 'pitur', 'cod', 'bayar', 'di', 'tempat']","['suguh', 'bnk', 'kampung', 'memakai']","['suguh', 'bnk', 'kampung', 'pakai']",suguh bnk kampung pakai,negative,0.9994828701019287
5,2025 09 14 16 59 00,gk bisa cod,"['gk', 'bisa', 'cod']",[],[],,ERROR,0.0
5,2025 09 14 15 04 10,banyak pilihan dan bisa cod,"['banyak', 'pilihan', 'dan', 'bisa', 'cod']",['pilihan'],['pilih'],pilih,positive,0.9984177350997925
5,2025 09 14 13 57 01,terimakasih shopee sudah memperlancar urusan publik semoga kedisplinannya bisa meningkat lagi terutama kurirnya yang sudah tetap mengantar barangnya khususnya ekpedisi spxnya dan apalagi yang sudah adanya cod cek dulu okeh terimakasih,"['terimakasih', 'shopee', 'sudah', 'memperlancar', 'urusan', 'publik', 'semoga', 'kedisplinannya', 'bisa', 'meningkat', 'lagi', 'terutama', 'kurirnya', 'yang', 'sudah', 'tetap', 'mengantar', 'barangnya', 'khususnya', 'ekpedisi', 'spxnya', 'dan', 'apalagi', 'yang', 'sudah', 'adanya', 'cod', 'cek', 'dulu', 'okeh', 'terimakasih']","['memperlancar', 'urusan', 'kedisplinannya', 'meningkat', 'kurirnya', 'mengantar', 'barangnya']","['lancar', 'urus', 'kedisplinannya', 'tingkat', 'kurir', 'antar', 'barang']",lancar urus kedisplinannya tingkat kurir antar barang,neutral,0.7135916948318481
5,2025 09 14 13 49 50,mantap bisa cod cek dulu orang nya pun ramah semua ini tolong juga katanya gtw tapi masi lama,"['mantap', 'bisa', 'cod', 'cek', 'dulu', 'orang', 'nya', 'pun', 'ramah', 'semua', 'ini', 'tolong', 'juga', 'katanya', 'gtw', 'tapi', 'masi', 'lama']","['ramah', 'masi']","['ramah', 'mas']",ramah mas,positive,0.9949064254760742
1,2025 09 14 13 48 56,banyak banget paket fiktif yang datang padahal saya tidak sama sekali pesan hilangkan fitur cod dong,"['banyak', 'banget', 'paket', 'fiktif', 'yang', 'datang', 'padahal', 'saya', 'tidak', 'sama', 'sekali', 'pesan', 'hilangkan', 'fitur', 'cod', 'dong']",['hilangkan'],['hilang'],hilang,negative,0.9987408518791199
1,2025 09 14 11 41 56,kenapa di daerah saya ndak bisa cod tolong donk saya ada di daerah desa gunung wungkal kecamatan gunung wungkal kabupaten pati jawa tengah,"['kenapa', 'di', 'daerah', 'saya', 'ndak', 'bisa', 'cod', 'tolong', 'donk', 'saya', 'ada', 'di', 'daerah', 'desa', 'gunung', 'wungkal', 'kecamatan', 'gunung', 'wungkal', 'kabupaten', 'pati', 'jawa', 'tengah']","['kecamatan', 'jawa']","['camat', 'jawa']",camat jawa,negative,0.9384756684303284
5,2025 09 14 09 26 31,shopee sekarang sombong sistem nya sya nolak paket sekali itupun karna toko nya nipu eh malah cod syaa di non aktifkan saya butuh sistem cod karna saya jualan klau sistem tf trus barang nya ditipu gx sesuai syaa yg rugi dikembalikan pun sering diblok toko nya semoga sistem cod saya di aktifkan secepat nya baru sekali nolak padahl itupun slaah toko,"['shopee', 'sekarang', 'sombong', 'sistem', 'nya', 'sya', 'nolak', 'paket', 'sekali', 'itupun', 'karna', 'toko', 'nya', 'nipu', 'eh', 'malah', 'cod', 'syaa', 'di', 'non', 'aktifkan', 'saya', 'butuh', 'sistem', 'cod', 'karna', 'saya', 'jualan', 'klau', 'sistem', 'tf', 'trus', 'barang', 'nya', 'ditipu', 'gx', 'sesuai', 'syaa', 'yg', 'rugi', 'dikembalikan', 'pun', 'sering', 'diblok', 'toko', 'nya', 'semoga', 'sistem', 'cod', 'saya', 'di', 'aktifkan', 'secepat', 'nya', 'baru', 'sekali', 'nolak', 'padahl', 'itupun', 'slaah', 'toko']","['aktifkan', 'jualan', 'ditipu', 'dikembalikan', 'diblok', 'aktifkan', 'secepat']","['aktif', 'jual', 'tipu', 'kembali', 'blok', 'aktif', 'cepat']",aktif jual tipu kembali blok aktif cepat,neutral,0.8757247924804688
5,2025 09 14 08 52 15,alhamdulillah saya bisa pesan cod lewat shopee terimakasih,"['alhamdulillah', 'saya', 'bisa', 'pesan', 'cod', 'lewat', 'shopee', 'terimakasih']",[],[],,ERROR,0.0
5,2025 09 14 08 25 28,ngapa sekarang shopee dari pihak lapak pembayaran nya banyak yg gak bisa cod padahal banyak yg seneng cod tolol,"['ngapa', 'sekarang', 'shopee', 'dari', 'pihak', 'lapak', 'pembayaran', 'nya', 'banyak', 'yg', 'gak', 'bisa', 'cod', 'padahal', 'banyak', 'yg', 'seneng', 'cod', 'tolol']","['lapak', 'seneng']","['lapak', 'neng']",lapak neng,positive,0.574741780757904
5,2025 09 14 06 53 41,memudahkan konsumen dalam berbelanja apalagi ada layanan cek dulu kalau membeli cod,"['memudahkan', 'konsumen', 'dalam', 'berbelanja', 'apalagi', 'ada', 'layanan', 'cek', 'dulu', 'kalau', 'membeli', 'cod']","['memudahkan', 'berbelanja', 'membeli']","['mudah', 'belanja', 'beli']",mudah belanja beli,positive,0.9363105893135071
5,2025 09 14 00 44 40,aplikasi shopee memang luar biasa mempermudah kita untuk memilah barang membeli barang yg kita ingin kan dengan harga dan promo relatif murah tapi satu saran dari saya tolong metode cod nya jangan ngilang kadang ngilang jdi gk bisa cod harus transfer tapi the best lah,"['aplikasi', 'shopee', 'memang', 'luar', 'biasa', 'mempermudah', 'kita', 'untuk', 'memilah', 'barang', 'membeli', 'barang', 'yg', 'kita', 'ingin', 'kan', 'dengan', 'harga', 'dan', 'promo', 'relatif', 'murah', 'tapi', 'satu', 'saran', 'dari', 'saya', 'tolong', 'metode', 'cod', 'nya', 'jangan', 'ngilang', 'kadang', 'ngilang', 'jdi', 'gk', 'bisa', 'cod', 'harus', 'transfer', 'tapi', 'the', 'best', 'lah']","['mempermudah', 'memilah', 'membeli', 'relatif']","['mudah', 'mem', 'beli', 'relatif']",mudah mem beli relatif,positive,0.9885606169700623
1,2025 09 14 00 37 00,menonaktifkan sistem cod secara sepihak saya sebagai pembeli tidak pernah menolak pesanan berpikir dulu untuk melanjutkan belanja di shopee lag,"['menonaktifkan', 'sistem', 'cod', 'secara', 'sepihak', 'saya', 'sebagai', 'pembeli', 'tidak', 'pernah', 'menolak', 'pesanan', 'berpikir', 'dulu', 'untuk', 'melanjutkan', 'belanja', 'di', 'shopee', 'lag']","['menonaktifkan', 'menolak', 'berpikir', 'melanjutkan', 'belanja']","['nonaktif', 'tolak', 'pikir', 'lanjut', 'belanja']",nonaktif tolak pikir lanjut belanja,neutral,0.8637649416923523
5,2025 09 13 23 18 09,mantap murah meriah n ada cod nya,"['mantap', 'murah', 'meriah', 'n', 'ada', 'cod', 'nya']","['meriah', 'n']","['riah', 'n']",riah n,negative,0.9952462315559387
1,2025 09 13 22 10 44,gabisa cod,"['gabisa', 'cod']",[],[],,ERROR,0.0
1,2025 09 13 20 39 55,shopee express nya bobrok banget pengiriman paket gak sesuai estimasi mana paket cod orang suruh nunggu paket seharian tapi gak sampe,"['shopee', 'express', 'nya', 'bobrok', 'banget', 'pengiriman', 'paket', 'gak', 'sesuai', 'estimasi', 'mana', 'paket', 'cod', 'orang', 'suruh', 'nunggu', 'paket', 'seharian', 'tapi', 'gak', 'sampe']",['seharian'],['hari'],hari,positive,0.8584733009338379
3,2025 09 13 20 37 16,tolong ya min saya mau co kadang gabisa cod kadang bisa itu maksudnya apa ya padahal ga pernah retur barang loh ini pengen co malah gabisa cod padahl kemarin bisa tolong sih diperbaiki lagi,"['tolong', 'ya', 'min', 'saya', 'mau', 'co', 'kadang', 'gabisa', 'cod', 'kadang', 'bisa', 'itu', 'maksudnya', 'apa', 'ya', 'padahal', 'ga', 'pernah', 'retur', 'barang', 'loh', 'ini', 'pengen', 'co', 'malah', 'gabisa', 'cod', 'padahl', 'kemarin', 'bisa', 'tolong', 'sih', 'diperbaiki', 'lagi']","['maksudnya', 'pengen', 'diperbaiki']","['maksud', 'ken', 'baik']",maksud ken baik,negative,0.8441064953804016
5,2025 09 13 20 29 35,aplikasi yang bagus untuk jual beli respon cepat baik saat proses cod atau klaim refund,"['aplikasi', 'yang', 'bagus', 'untuk', 'jual', 'beli', 'respon', 'cepat', 'baik', 'saat', 'proses', 'cod', 'atau', 'klaim', 'refund']",[],[],,ERROR,0.0
2,2025 09 13 20 11 57,lucunya barang yg dibeli cash selalu terlambat barang yg dibeli cod sangat cepat sekali mending cod saja,"['lucunya', 'barang', 'yg', 'dibeli', 'cash', 'selalu', 'terlambat', 'barang', 'yg', 'dibeli', 'cod', 'sangat', 'cepat', 'sekali', 'mending', 'cod', 'saja']","['lucunya', 'dibeli', 'terlambat', 'dibeli']","['lucu', 'beli', 'lambat', 'beli']",lucu beli lambat beli,negative,0.9981215596199036
1,2025 09 13 19 21 15,sudah gk bisa cod lagi jarang yg bisa cod,"['sudah', 'gk', 'bisa', 'cod', 'lagi', 'jarang', 'yg', 'bisa', 'cod']",[],[],,ERROR,0.0
5,2025 09 13 18 10 06,fitur cod knpa tdak aktif sih pdahal sya tiap co barang sesui bayar terus tlong min di perbaiki buat user yg amanah,"['fitur', 'cod', 'knpa', 'tdak', 'aktif', 'sih', 'pdahal', 'sya', 'tiap', 'co', 'barang', 'sesui', 'bayar', 'terus', 'tlong', 'min', 'di', 'perbaiki', 'buat', 'user', 'yg', 'amanah']",[],[],,ERROR,0.0
5,2025 09 13 16 05 49,klo bisa semua pembayaran bisa cod saja,"['klo', 'bisa', 'semua', 'pembayaran', 'bisa', 'cod', 'saja']",[],[],,ERROR,0.0
5,2025 09 13 14 35 34,sungguh sangat bagus belanja shopee ini walaupun susah gampang pesan cod,"['sungguh', 'sangat', 'bagus', 'belanja', 'shopee', 'ini', 'walaupun', 'susah', 'gampang', 'pesan', 'cod']",['belanja'],['belanja'],belanja,positive,0.9974477291107178
5,2025 09 13 14 03 16,semoga sistem cod tidak di hapus,"['semoga', 'sistem', 'cod', 'tidak', 'di', 'hapus']",[],[],,ERROR,0.0
5,2025 09 13 12 14 54,pastinya semua tidak ada yg sempurna ya kan tapi saran dari saya untuk kesempurnaan kedepannya kalo pesanan di batalkan dikarenakan barangnya habis kata penjual mohon jangan di matikan fitur cod nya ini saja lah yg lain ku rasa cukup baik,"['pastinya', 'semua', 'tidak', 'ada', 'yg', 'sempurna', 'ya', 'kan', 'tapi', 'saran', 'dari', 'saya', 'untuk', 'kesempurnaan', 'kedepannya', 'kalo', 'pesanan', 'di', 'batalkan', 'dikarenakan', 'barangnya', 'habis', 'kata', 'penjual', 'mohon', 'jangan', 'di', 'matikan', 'fitur', 'cod', 'nya', 'ini', 'saja', 'lah', 'yg', 'lain', 'ku', 'rasa', 'cukup', 'baik']","['pastinya', 'kesempurnaan', 'kedepannya', 'barangnya', 'matikan']","['pasti', 'sempurna', 'depan', 'barang', 'mati']",pasti sempurna depan barang mati,positive,0.8518319725990295
1,2025 09 13 11 20 40,antara cod dan transfer bank yaitu lebih cepat pengiriman cod dari pada transfer bank padahal yang cod belum tentu di bayar kok barangnya cepet si,"['antara', 'cod', 'dan', 'transfer', 'bank', 'yaitu', 'lebih', 'cepat', 'pengiriman', 'cod', 'dari', 'pada', 'transfer', 'bank', 'padahal', 'yang', 'cod', 'belum', 'tentu', 'di', 'bayar', 'kok', 'barangnya', 'cepet', 'si']",['barangnya'],['barang'],barang,positive,0.9952425956726074
1,2025 09 13 09 41 04,makin sepi ini shopee nanti untuk wilayah madura udah gak bisa cod lagi udah mulai pindah ke toktok,"['makin', 'sepi', 'ini', 'shopee', 'nanti', 'untuk', 'wilayah', 'madura', 'udah', 'gak', 'bisa', 'cod', 'lagi', 'udah', 'mulai', 'pindah', 'ke', 'toktok']",[],[],,ERROR,0.0
5,2025 09 13 09 40 20,oke tapi tidak boleh di cod napa ya,"['oke', 'tapi', 'tidak', 'boleh', 'di', 'cod', 'napa', 'ya']",[],[],,ERROR,0.0
1,2025 09 13 08 37 38,knapa shopee ga bisa cod lagi,"['knapa', 'shopee', 'ga', 'bisa', 'cod', 'lagi']",[],[],,ERROR,0.0
5,2025 09 13 07 47 23,kok sekarang gada metode cod nya tolong terbit kn lagi cod nya,"['kok', 'sekarang', 'gada', 'metode', 'cod', 'nya', 'tolong', 'terbit', 'kn', 'lagi', 'cod', 'nya']",[],[],,ERROR,0.0
4,2025 09 13 00 01 34,kenapa sekarang tidak bisa cod di shopee beri jawaban trima kasih,"['kenapa', 'sekarang', 'tidak', 'bisa', 'cod', 'di', 'shopee', 'beri', 'jawaban', 'trima', 'kasih']",[],[],,ERROR,0.0
4,2025 09 12 19 13 59,di antara yg lain memang cuma shopee yg paling recomen hanya banyak barang macam speaker bluetooth tidak bisa cod dan ini lumayan merepotkan pembelian,"['di', 'antara', 'yg', 'lain', 'memang', 'cuma', 'shopee', 'yg', 'paling', 'recomen', 'hanya', 'banyak', 'barang', 'macam', 'speaker', 'bluetooth', 'tidak', 'bisa', 'cod', 'dan', 'ini', 'lumayan', 'merepotkan', 'pembelian']","['recomen', 'speaker', 'merepotkan', 'pembelian']","['recomen', 'speaker', 'repot', 'beli']",recomen speaker repot beli,negative,0.9587250351905823
1,2025 09 12 19 10 26,mau relog di hp baru koq disuru scan barcode di hp lama kan hp lama sudah dijual jadi g bisa masuk ke akun yg lama shi,"['mau', 'relog', 'di', 'hp', 'baru', 'koq', 'disuru', 'scan', 'barcode', 'di', 'hp', 'lama', 'kan', 'hp', 'lama', 'sudah', 'dijual', 'jadi', 'g', 'bisa', 'masuk', 'ke', 'akun', 'yg', 'lama', 'shi']","['relog', 'dijual', 'shi']","['relog', 'jual', 'shi']",relog jual shi,neutral,0.9968175888061523
5,2025 09 12 18 53 43,sedikit saran klw boleh tokonya semua harus sedia cod,"['sedikit', 'saran', 'klw', 'boleh', 'tokonya', 'semua', 'harus', 'sedia', 'cod']",['tokonya'],['toko'],toko,positive,0.9910116195678711
1,2025 09 12 18 18 29,ini salah siapa shopee metode pembayaran cod saya diblokir oleh shopee karena saya membeli sebuah produk dari toko dan penjual dari toko tersebut menginformasikan bahwa produk yg saya pesan sedang kosong karna dari itu saya membatalkan pesanan,"['ini', 'salah', 'siapa', 'shopee', 'metode', 'pembayaran', 'cod', 'saya', 'diblokir', 'oleh', 'shopee', 'karena', 'saya', 'membeli', 'sebuah', 'produk', 'dari', 'toko', 'dan', 'penjual', 'dari', 'toko', 'tersebut', 'menginformasikan', 'bahwa', 'produk', 'yg', 'saya', 'pesan', 'sedang', 'kosong', 'karna', 'dari', 'itu', 'saya', 'membatalkan', 'pesanan']","['diblokir', 'membeli', 'menginformasikan', 'membatalkan']","['blokir', 'beli', 'informasi', 'batal']",blokir beli informasi batal,neutral,0.9917486906051636
5,2025 09 12 16 52 15,lancar saya sll cod meski ada yg tdk sesuai deskripsi,"['lancar', 'saya', 'sll', 'cod', 'meski', 'ada', 'yg', 'tdk', 'sesuai', 'deskripsi']",[],[],,ERROR,0.0
5,2025 09 12 15 52 47,ya walaupun masih banyak penipu tapi soal sistem return barang ok banget walaupun metode cod tapi dana masih bisa di kembalikan,"['ya', 'walaupun', 'masih', 'banyak', 'penipu', 'tapi', 'soal', 'sistem', 'return', 'barang', 'ok', 'banget', 'walaupun', 'metode', 'cod', 'tapi', 'dana', 'masih', 'bisa', 'di', 'kembalikan']","['penipu', 'kembalikan']","['tipu', 'kembali']",tipu kembali,positive,0.9167644381523132
1,2025 09 12 12 51 45,shooope bisa apa si buat belanja aja org di suruh ngutang trs pakai cod ga bisa trs tolong perbaiki jgn org suruh ngutang kecewa deh,"['shooope', 'bisa', 'apa', 'si', 'buat', 'belanja', 'aja', 'org', 'di', 'suruh', 'ngutang', 'trs', 'pakai', 'cod', 'ga', 'bisa', 'trs', 'tolong', 'perbaiki', 'jgn', 'org', 'suruh', 'ngutang', 'kecewa', 'deh']","['shooope', 'belanja']","['shooope', 'belanja']",shooope belanja,positive,0.9885252118110657
